Fecha,Municipio,casos,Latitud,Longitud
2003-01-01,Bucaramanga,2,7.1255169,-73.1182624
2003-02-01,Floridablanca,1,7.0625358,-73.0858228
2003-04-01,Barrancabermeja,1,7.0673313,-73.8525627
2003-07-01,Barrancabermeja,1,7.0673313,-73.8525627
2003-07-01,Lebrija,1,7.1138415,-73.2174056
2003-08-01,Bucaramanga,1,7.1255169,-73.1182624
2003-08-01,Socorro,1,6.470518,-73.2623187
2003-12-01,Sabana de torres,2,7.3939416,-73.4998859
2003-12-01,San gil,1,6.5552856,-73.1312353
2004-01-01,Bucaramanga,1,7.1255169,-73.1182624
2004-01-01,Onzaga,1,6.3438974,-72.816606
2004-02-01,Barrancabermeja,1,7.0673313,-73.8525627
2004-02-01,Lebrija,1,7.1138415,-73.2174056
2004-04-01,Bucaramanga,1,7.1255169,-73.1182624
2004-04-01,Suaita,1,6.1257535999999995,-73.36271466241944
2004-06-01,Bucaramanga,1,7.1255169,-73.1182624
2004-07-01,Bucaramanga,1,7.1255169,-73.1182624
2004-08-01,Bucaramanga,1,7.1255169,-73.1182624
2004-12-01,Barrancabermeja,1,7.0673313,-73.8525627
2005-01-01,Bucaramanga,1,7.1255169,-73.1182624
2005-07-01,Bucaramanga,1,7.1255169,-73.1182624
2005-08-01,Barrancabermeja,1,7.0673313,-73.8525627
2005-08-01,Onzaga,1,6.3438974,-72.816606
2005-08-01,Sabana de torres,1,7.3939416,-73.4998859
2005-09-01,Bucaramanga,1,7.1255169,-73.1182624
2005-09-01,Giron,1,7.0732333,-73.1689196
2005-09-01,Sabana de torres,1,7.3939416,-73.4998859
2005-09-01,San gil,1,6.5552856,-73.1312353
2005-10-01,Barrancabermeja,1,7.0673313,-73.8525627
2005-10-01,Matanza,1,7.3230808,-73.0155679
2005-11-01,Barrancabermeja,2,7.0673313,-73.8525627
2005-11-01,El playon,1,7.52300075,-73.19786585908766
2006-01-01,Bucaramanga,1,7.1255169,-73.1182624
2006-01-01,El carmen de chucuri,1,6.6986924,-73.5115695
2006-01-01,Zapatoca,1,6.8166596,-73.2686529
2006-02-01,Bucaramanga,1,7.1255169,-73.1182624
2006-03-01,Floridablanca,1,7.0625358,-73.0858228
2006-03-01,Piedecuesta,1,6.9874808,-73.0504129
2006-05-01,Barrancabermeja,1,7.0673313,-73.8525627
2006-05-01,Bucaramanga,1,7.1255169,-73.1182624
2006-06-01,Chipata,1,6.0624774,-73.6372532
2006-06-01,Socorro,1,6.470518,-73.2623187
2006-07-01,Barrancabermeja,1,7.0673313,-73.8525627
2006-07-01,Bucaramanga,1,7.1255169,-73.1182624
2006-09-01,Betulia,1,6.9006397,-73.2835591
2006-09-01,Bucaramanga,2,7.1255169,-73.1182624
2006-10-01,Bucaramanga,1,7.1255169,-73.1182624
2006-11-01,Giron,1,7.0732333,-73.1689196
2006-12-01,Bucaramanga,2,7.1255169,-73.1182624
2007-01-01,Bucaramanga,2,7.1255169,-73.1182624
2007-02-01,Bucaramanga,1,7.1255169,-73.1182624
2007-02-01,Suaita,1,6.1257535999999995,-73.36271466241944
2007-02-01,Zapatoca,1,6.8166596,-73.2686529
2007-03-01,Barrancabermeja,2,7.0673313,-73.8525627
2007-03-01,Bucaramanga,2,7.1255169,-73.1182624
2007-03-01,Rionegro,1,7.4792888,-73.38270064117279
2007-04-01,Bucaramanga,1,7.1255169,-73.1182624
2007-04-01,Sabana de torres,1,7.3939416,-73.4998859
2007-05-01,Floridablanca,3,7.0625358,-73.0858228
2007-05-01,Giron,1,7.0732333,-73.1689196
2007-05-01,San gil,1,6.5552856,-73.1312353
2007-06-01,Barrancabermeja,3,7.0673313,-73.8525627
