Municipio,Latitud,Longitud,casos
Barrancabermeja,7.0673313,-73.8525627,647
Bucaramanga,7.1255169,-73.1182624,485
Sabana de torres,7.3939416,-73.4998859,353
Cimitarra,6.3145415,-73.9496809,229
San vicente de chucuri,6.92877925,-73.52075434629629,166
Giron,7.0732333,-73.1689196,155
Rionegro,7.4792888,-73.38270064117279,112
Floridablanca,7.0625358,-73.0858228,98
Piedecuesta,6.9874808,-73.0504129,97
Lebrija,7.1138415,-73.2174056,97
Puerto wilches,7.3480175,-73.8979783,87
Landazuri,6.2205334,-73.8113754,86
Puerto parra,6.70128855,-73.9774782111397,76
California,7.3480915,-72.9459294,66
San jose de miranda,6.62526745,-72.7366986177611,60
San gil,6.5552856,-73.1312353,58
Puente nacional,5.8770962,-73.6791063,56
Socorro,6.470518,-73.2623187,55
Velez,6.2425777,-73.70512852391471,52
Barbosa,5.9326035,-73.6124368,45
